Index,Product,Value_EU,Value_NLD,Percentage
212,40500,393227.429,2322.135,0.590532305
213,681099,391578.262,1178.088,0.300856333
214,722220,387780.614,39.008,0.010059296
215,843359,385007.79,1296.276,0.336688252
216,210390,383924.88,17946.223,4.674410004
217,842641,381834.218,2163.607,0.566635178
218,842121,378583.803,20893.411,5.518833831
219,150990,372560.241,932.613,0.250325423
220,841229,371841.875,10799.681,2.904374608
221,841410,371739.801,4772.287,1.283770795
222,853620,368364.235,645.318,0.17518476
223,850153,368046.743,112.778,0.030642303
224,843120,367951.875,5932.039,1.612177951
225,850230,367540.662,5216.045,1.419174948
226,300610,363825.18,6653.253,1.828695034
227,847490,361183.948,11515.406,3.188238587
228,30410,357298.158,143136.987,40.06093617
229,330590,353352.484,23942.378,6.77577747
230,300640,351347.034,2273.457,0.64706879
231,711810,351291.598,19332.357,5.503222141
232,900311,349727.861,61.386,0.017552505
233,852810,349666.485,21912.556,6.266701826
234,711021,347676.809,5359.487,1.54151409
235,852990,346187.147,16037.022,4.632471812
236,392190,345467.633,18588.897,5.380792649
237,850131,345358.144,4408.223,1.276420747
238,940320,344361.337,14760.229,4.286261962
239,845610,344253.624,5336.668,1.550214036
240,390690,344042.06,43347.97,12.59961355
241,850490,343072.112,3832.075,1.116988198
242,880250,339313.847,4613.771,1.359735549
243,870790,331592.618,389.359,0.117420889
244,841869,330869.705,4968.169,1.501548472
245,843351,328848.554,11464.399,3.486224543
246,843143,328431.079,20867.704,6.35375436
247,290220,327012.774,214500.786,65.59400826
248,842833,325388.676,90297.398,27.75062707
249,854430,324603.648,76933.124,23.70063444
250,850880,321263.275,608.197,0.1893142
251,848590,317562.815,8101.254,2.551071353
252,294190,317227.952,1207.339,0.380590359
253,761690,313876.663,21242.648,6.76783288
254,940340,309951.669,866.021,0.279405174
255,870892,308934.004,370.288,0.119859904
256,846693,308095.551,2944.217,0.955618148
257,870870,306469.965,7662.67,2.500300478
258,262090,305323.494,5359.752,1.755433861
259,711590,301511.726,45.742,0.015170886
260,470321,301458.244,5697.944,1.890127112
261,441600,299668.172,1.892,0.000631365
262,841430,295406.734,9448.551,3.198488698
263,902610,293709.479,32054.268,10.9135967
264,890399,293240.072,2323.901,0.792490939
265,730820,292310.149,12.759,0.004364884
266,390469,292250.13,33876.327,11.59155241
267,843880,292020.251,4478.729,1.533704935
268,730459,291578.295,428.149,0.146838433
269,843810,289920.004,135306.603,46.67032324
270,640419,289688.509,346.666,0.119668537
271,848210,288975.104,2209.92,0.76474408
272,381800,288594.867,4404.312,1.526122778
273,880212,286697.798,21823.632,7.612068231
274,391000,284174.374,7965.435,2.803009606
275,640391,284135.226,515.077,0.181278825
276,846221,283495.753,27965.815,9.864632787
277,30420,282740.224,57587.863,20.36776451
278,722490,280355.522,41.149,0.014677435
279,890190,278375.914,243.001,0.087292394
280,854449,277823.913,3490.773,1.256469597
281,711311,277515.976,230.078,0.082906218
282,710691,276427.001,2.134,0.000771994
283,730410,276102.69,51.757,0.018745562
284,901210,275973.27,65998.075,23.9146621
285,180500,275561.062,195767.477,71.04322925
286,870422,275403.398,102.504,0.037219584
287,847120,272816.615,113409.151,41.56973761
288,842123,272745.256,2886.28,1.058232888
289,850110,270129.122,6347.286,2.34972296
290,843629,269869.881,33004.206,12.22967375
291,760711,264839.949,54.565,0.02060301
292,847420,262819.62,1243.217,0.473030514
293,381512,262611.291,565.841,0.215467126
294,890391,257385.696,4053.089,1.57471416
295,846694,257097.35,10375.722,4.03571721
296,902730,255618.38,9235.496,3.613001538
297,230990,255135.275,16233.832,6.362833207
298,843850,254143.685,33991.704,13.37499454
299,350190,253377.065,53759.552,21.21721317
300,731210,251893.911,2272.681,0.902237371
301,901831,251537.486,2490.842,0.990246837
302,300410,250856.286,17.479,0.006967735
303,970500,249858.806,13489.004,5.398650628
304,848071,248010.452,11059.887,4.459443911
305,842490,247459.394,11941.461,4.825624442
306,640299,247174.106,653.576,0.264419283
307,490199,246503.573,10079.637,4.089042961
308,270799,244873.605,200612.808,81.92504374
309,761090,244843.685,8491.127,3.467978764
310,820900,242699.758,4356.629,1.795069363
311,848330,242277.176,3620.197,1.49423774
312,830230,240400.808,6662.876,2.77156972
313,852691,240027.777,2500.076,1.041577784
314,871130,237635.32,41.085,0.017289097
315,441119,236334.072,6792.559,2.874134458
316,850164,235177.415,141.088,0.059992155
317,846610,234822.668,4023.873,1.713579457
318,930320,234559.615,5.305,0.002261685
319,420292,234449.446,1997.173,0.851856566
320,293090,232362.107,5641.792,2.428017233
321,722590,231531.438,11352.443,4.903197206
322,880310,231354.969,326.493,0.141122104
