Product,Value_EU,Value_NLD,Percentage
284440,431883.821,114039.328,26.40509379
970600,431489.012,26115.683,6.052456094
847710,429185.97,489.226,0.113989281
401699,427251.878,6461.214,1.512272814
200570,427003.225,2262.572,0.529872345
842649,426358.376,1466.501,0.343959702
392119,425140.073,780.614,0.183613366
10119,424578.435,105881.642,24.93806404
401693,422477.174,7556.019,1.78850349
845710,421255.18,2529.25,0.600408047
902130,420438.226,14956.968,3.557471009
847780,419557.435,32415.157,7.72603565
902620,417797.826,6450.354,1.543893625
680291,414476.16,56.896,0.013727207
841981,412899.035,51010.551,12.35424321
902710,408169.083,10463.46,2.563511161
870894,407639.579,185.639,0.045539984
843890,407051.809,98882.017,24.29224359
701090,401997.012,671.884,0.167136566
851220,400386.599,58.335,0.014569668
843041,398996.919,9990.2,2.503828858
901420,398366.677,3292.521,0.826505125
901920,395315.101,109851.669,27.78838165
200410,394704.35,67500.453,17.10152244
330420,394323.232,475.592,0.120609683
40500,393227.429,2322.135,0.590532305
681099,391578.262,1178.088,0.300856333
722220,387780.614,39.008,0.010059296
843359,385007.79,1296.276,0.336688252
210390,383924.88,17946.223,4.674410004
842641,381834.218,2163.607,0.566635178
842121,378583.803,20893.411,5.518833831
150990,372560.241,932.613,0.250325423
841229,371841.875,10799.681,2.904374608
841410,371739.801,4772.287,1.283770795
853620,368364.235,645.318,0.17518476
850153,368046.743,112.778,0.030642303
843120,367951.875,5932.039,1.612177951
850230,367540.662,5216.045,1.419174948
300610,363825.18,6653.253,1.828695034
847490,361183.948,11515.406,3.188238587
30410,357298.158,143136.987,40.06093617
330590,353352.484,23942.378,6.77577747
300640,351347.034,2273.457,0.64706879
711810,351291.598,19332.357,5.503222141
900311,349727.861,61.386,0.017552505
852810,349666.485,21912.556,6.266701826
711021,347676.809,5359.487,1.54151409
852990,346187.147,16037.022,4.632471812
392190,345467.633,18588.897,5.380792649
850131,345358.144,4408.223,1.276420747
940320,344361.337,14760.229,4.286261962
845610,344253.624,5336.668,1.550214036
390690,344042.06,43347.97,12.59961355
850490,343072.112,3832.075,1.116988198
880250,339313.847,4613.771,1.359735549
870790,331592.618,389.359,0.117420889
841869,330869.705,4968.169,1.501548472
843351,328848.554,11464.399,3.486224543
843143,328431.079,20867.704,6.35375436
290220,327012.774,214500.786,65.59400826
842833,325388.676,90297.398,27.75062707
854430,324603.648,76933.124,23.70063444
850880,321263.275,608.197,0.1893142
848590,317562.815,8101.254,2.551071353
294190,317227.952,1207.339,0.380590359
761690,313876.663,21242.648,6.76783288
940340,309951.669,866.021,0.279405174
870892,308934.004,370.288,0.119859904
846693,308095.551,2944.217,0.955618148
870870,306469.965,7662.67,2.500300478
262090,305323.494,5359.752,1.755433861
711590,301511.726,45.742,0.015170886
470321,301458.244,5697.944,1.890127112
441600,299668.172,1.892,0.000631365
841430,295406.734,9448.551,3.198488698
902610,293709.479,32054.268,10.9135967
890399,293240.072,2323.901,0.792490939
730820,292310.149,12.759,0.004364884
390469,292250.13,33876.327,11.59155241
843880,292020.251,4478.729,1.533704935
730459,291578.295,428.149,0.146838433
843810,289920.004,135306.603,46.67032324
640419,289688.509,346.666,0.119668537
848210,288975.104,2209.92,0.76474408
381800,288594.867,4404.312,1.526122778
880212,286697.798,21823.632,7.612068231
391000,284174.374,7965.435,2.803009606
640391,284135.226,515.077,0.181278825
846221,283495.753,27965.815,9.864632787
30420,282740.224,57587.863,20.36776451
722490,280355.522,41.149,0.014677435
890190,278375.914,243.001,0.087292394
854449,277823.913,3490.773,1.256469597
711311,277515.976,230.078,0.082906218
710691,276427.001,2.134,0.000771994
730410,276102.69,51.757,0.018745562
901210,275973.27,65998.075,23.9146621
180500,275561.062,195767.477,71.04322925
870422,275403.398,102.504,0.037219584
847120,272816.615,113409.151,41.56973761
842123,272745.256,2886.28,1.058232888
850110,270129.122,6347.286,2.34972296
843629,269869.881,33004.206,12.22967375
760711,264839.949,54.565,0.02060301
847420,262819.62,1243.217,0.473030514
381512,262611.291,565.841,0.215467126
890391,257385.696,4053.089,1.57471416
846694,257097.35,10375.722,4.03571721
902730,255618.38,9235.496,3.613001538
230990,255135.275,16233.832,6.362833207
843850,254143.685,33991.704,13.37499454
350190,253377.065,53759.552,21.21721317
731210,251893.911,2272.681,0.902237371
901831,251537.486,2490.842,0.990246837
300410,250856.286,17.479,0.006967735
970500,249858.806,13489.004,5.398650628
848071,248010.452,11059.887,4.459443911
842490,247459.394,11941.461,4.825624442
640299,247174.106,653.576,0.264419283
490199,246503.573,10079.637,4.089042961
270799,244873.605,200612.808,81.92504374
761090,244843.685,8491.127,3.467978764
820900,242699.758,4356.629,1.795069363
848330,242277.176,3620.197,1.49423774
830230,240400.808,6662.876,2.77156972
852691,240027.777,2500.076,1.041577784
871130,237635.32,41.085,0.017289097
441119,236334.072,6792.559,2.874134458
850164,235177.415,141.088,0.059992155
846610,234822.668,4023.873,1.713579457
930320,234559.615,5.305,0.002261685
420292,234449.446,1997.173,0.851856566
293090,232362.107,5641.792,2.428017233
722590,231531.438,11352.443,4.903197206
880310,231354.969,326.493,0.141122104
940510,230518.693,9355.147,4.058302985
870421,230099.849,153.722,0.06680665
851790,229319.652,4576.338,1.995615273
270750,229030.883,15394.543,6.721601383
843999,229018.689,948.084,0.413976695
481190,229010.201,979.733,0.427811947
400219,228607.48,230.542,0.100846219
902690,228525.038,13845.139,6.058477934
391400,228440.607,326.153,0.142773653
843820,227847.244,73352.188,32.19358142
20329,227065.842,27731.786,12.21310337
681599,225889.004,5689.898,2.518891092
830990,225786.339,16223.742,7.185440037
300510,225728.371,1033.768,0.457969902
844319,224897.424,3373.529,1.500030076
293319,224120.038,90.759,0.04049571
252329,224073.073,10.867,0.004849757
